"customer_id","total_orders","total_spend","avg_order_value","customer_tenure_days","orders_last_30d","days_since_last_order","category_diversity","delivery_risk","cltv_label"
"6637282",4,"6176.62","1544.155",569,0,165,4,"0","0"
"6668498",2,"5471.11","2735.555",425,0,39,2,"0.011111111111111112","0"
"6724509",3,"2734.55","911.5166666666667",239,1,18,3,"0.2","0"
"6756256",3,"6810.71","2270.2366666666667",422,0,140,3,"0.022222222222222223","0"
"6812439",3,"1712.86","570.9533333333334",530,0,111,3,"0.17777777777777778","0"
"6853981",1,"141.28","141.28",316,0,316,1,"0.5111111111111111","0"
"6856445",2,"5998.27","2999.135",485,0,462,2,"0","0"
"15221182",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"6867315",2,"6151.22","3075.61",355,0,319,2,"0.4777777777777778","0"
"6959437",3,"3112.07","1037.3566666666666",334,0,30,2,"0.1111111111111111","0"
"6982488",3,"5723.68","1907.8933333333334",102,1,0,3,"0.029629629629629627","0"
"6992801",1,"942.37","942.37",170,0,170,1,"0.5777777777777777","0"
"7076456",2,"7500.72","3750.36",575,0,454,2,"0","0"
"7228206",4,"11704.43","2926.1075",364,0,150,3,"0.027777777777777776","0"
"7288562",3,"4667.1","1555.7",438,0,49,3,"0.1037037037037037","0"
"7333934",3,"4327.63","1442.5433333333333",535,0,193,2,"0.13333333333333333","0"
"7378768",2,"1587.24","793.62",450,0,394,2,"0.03333333333333333","0"
"7522036",1,"845","845",453,0,453,1,"0","0"
"7551173",1,"3919.44","3919.44",287,0,287,1,"0","0"
"7591711",4,"7305.79","1826.4475",554,0,319,3,"0.06666666666666667","0"
"7687234",1,"4559.56","4559.56",465,0,465,1,"0","0"
"7728406",5,"9590.72","1918.144",481,0,131,3,"0.18666666666666668","0"
"8025622",3,"6292.71","2097.57",377,0,105,2,"0.16296296296296298","0"
"8073518",1,"1448.27","1448.27",505,0,505,1,"0","0"
"8138417",1,"2209.24","2209.24",478,0,478,1,"0","0"
"75560116",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"8164639",2,"4728.2","2364.1",481,0,174,2,"0","0"
"8228843",3,"6271.29","2090.43",589,0,278,3,"0.26666666666666666","0"
"8241122",4,"6669.82","1667.455",326,0,106,4,"0.022222222222222223","0"
"8351747",3,"5516.66","1838.8866666666668",595,0,405,3,"0.07407407407407407","0"
"8361353",2,"6377.04","3188.52",331,0,221,2,"0.03333333333333333","0"
"8375298",2,"1112.44","556.22",545,0,419,2,"0.011111111111111112","0"
"8383197",2,"4844.43","2422.215",322,1,19,2,"0","0"
"8384106",1,"796.88","796.88",351,0,351,1,"0","0"
"8395343",3,"7008.02","2336.0066666666667",571,0,489,3,"0.014814814814814815","0"
"8395610",2,"6443.63","3221.815",333,0,202,2,"0","0"
"8513589",2,"6565.69","3282.845",501,0,193,2,"0.011111111111111112","0"
"8536503",2,"1711.19","855.595",295,0,149,2,"0.044444444444444446","0"
"8628482",2,"6500.45","3250.225",522,0,35,1,"0.14444444444444443","0"
"8632679",1,"1442.99","1442.99",397,0,397,1,"0","0"
"8651281",4,"4335.65","1083.9125",537,0,145,4,"0.10555555555555556","0"
"8733344",2,"4272.07","2136.035",110,0,69,2,"0.1111111111111111","0"
"8791577",8,"19028.36","2378.545",578,1,21,5,"0.175","0"
"8817168",1,"196.64","196.64",456,0,456,1,"0.3333333333333333","0"
"8881320",2,"3006.36","1503.18",241,1,6,2,"0.1","0"
"8886587",1,"2023.82","2023.82",122,0,122,1,"0.17777777777777778","0"
"8955057",3,"5598.19","1866.0633333333333",210,0,120,3,"0.044444444444444446","0"
"9048817",1,"3944.12","3944.12",225,0,225,1,"0","0"
"9097480",2,"5655.6","2827.8",410,1,3,2,"0.08888888888888889","0"
"9105829",2,"5485.69","2742.845",563,0,346,2,"0.2","0"
"9107360",3,"5210.74","1736.9133333333334",538,0,117,2,"0.029629629629629627","0"
"9195970",1,"1809.72","1809.72",599,0,599,1,"0","0"
"9246851",2,"5098.44","2549.22",518,0,516,2,"0.06666666666666667","0"
"9274874",6,"3721.02","620.17",548,0,71,5,"0.09259259259259259","0"
"9278983",5,"9068.35","1813.67",576,0,38,5,"0.19111111111111112","0"
"9314637",2,"4974.44","2487.22",331,0,318,2,"0.011111111111111112","0"
"9347990",2,"1461.79","730.895",556,1,17,2,"0.12222222222222222","0"
"9401406",3,"8038.67","2679.556666666667",549,0,55,2,"0","0"
"9419030",1,"1973.65","1973.65",199,0,199,1,"0.08888888888888889","0"
"9423628",1,"3342.15","3342.15",581,0,581,1,"0.4222222222222222","0"
"9450435",3,"7220.76","2406.92",549,0,173,3,"0.15555555555555556","0"
"48647253",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"9551011",1,"307.23","307.23",419,0,419,1,"0","0"
"9573071",4,"8601.02","2150.255",503,0,110,4,"0.03888888888888889","0"
"9641623",1,"835.53","835.53",152,0,152,1,"0","0"
"9650263",2,"4364.28","2182.14",177,0,120,2,"0.022222222222222223","0"
"9738801",4,"8019.36","2004.84",580,0,250,4,"0.1","0"
"9796585",2,"1321.1","660.55",547,1,6,2,"0.17777777777777778","0"
"9981089",2,"3035.85","1517.925",403,0,307,2,"0.05555555555555555","0"
"9987182",4,"11850.41","2962.6025",538,1,28,3,"0.022222222222222223","0"
"10019218",4,"9414.81","2353.7025",499,0,165,3,"0.05","0"
"10038382",2,"6331.04","3165.52",368,0,299,2,"0.044444444444444446","0"
"10048910",5,"11162.4","2232.48",583,0,41,3,"0.06222222222222222","0"
"10088428",1,"1253.07","1253.07",33,0,33,1,"0.1111111111111111","0"
"10210309",1,"2190.34","2190.34",116,0,116,1,"0","0"
"10225164",2,"4228.71","2114.355",498,0,140,2,"0","0"
"10240052",2,"2755.39","1377.695",404,0,62,2,"0.044444444444444446","0"
"10418604",3,"8381.78","2793.9266666666667",556,0,215,2,"0.1037037037037037","0"
"10508763",2,"2396.75","1198.375",530,0,209,2,"0.03333333333333333","0"
"10642655",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"10524732",3,"3492.09","1164.03",548,0,467,2,"0.06666666666666667","0"
"10541231",2,"2015.42","1007.71",371,1,15,2,"0.044444444444444446","0"
"10562528",7,"11050.11","1578.587142857143",584,1,19,6,"0.08571428571428572","0"
"10605484",2,"3597.52","1798.76",367,0,318,2,"0.022222222222222223","0"
"10608845",1,"2265.63","2265.63",404,0,404,1,"0.044444444444444446","0"
"10663246",2,"4821.82","2410.91",532,0,156,2,"0.1","0"
"10683250",2,"1057.69","528.845",399,0,262,2,"0","0"
"10686446",1,"2505.6","2505.6",222,0,222,1,"0.3333333333333333","0"
"10694081",1,"3821.8","3821.8",26,1,26,1,"0.35555555555555557","0"
"10700664",3,"2978.89","992.9633333333334",506,0,262,3,"0.06666666666666667","0"
"10729474",2,"5097.5","2548.75",531,0,521,2,"0.06666666666666667","0"
"10745302",1,"3759.4","3759.4",351,0,351,1,"0.28888888888888886","0"
"10769994",2,"1105.69","552.845",461,0,331,2,"0.14444444444444443","0"
"10789681",1,"825.46","825.46",168,0,168,1,"0.06666666666666667","0"
"10796846",1,"3330.44","3330.44",560,0,560,1,"0.044444444444444446","0"
"10797688",1,"2232.88","2232.88",268,0,268,1,"0.3333333333333333","0"
"10830043",1,"2244.39","2244.39",483,0,483,1,"0.08888888888888889","0"
"10855630",2,"5001.01","2500.505",534,0,140,2,"0.26666666666666666","0"
"10857389",4,"5091.87","1272.9675",466,0,37,4,"0.05","0"
"10945990",2,"3702.66","1851.33",467,1,13,2,"0.1","0"
"10951674",2,"2110.33","1055.165",459,0,214,2,"0.14444444444444443","0"
"11047835",4,"8927.04","2231.76",587,0,66,3,"0.06111111111111111","0"
"11063505",2,"4218.7","2109.35",55,1,7,2,"0.022222222222222223","0"
"11071601",2,"4320.68","2160.34",337,0,111,2,"0.05555555555555555","0"
"11082181",1,"1303.23","1303.23",256,0,256,1,"0.28888888888888886","0"
"11143197",4,"8949.08","2237.27",492,0,147,3,"0.05555555555555555","0"
"11202130",4,"9747.33","2436.8325",209,0,104,4,"0.19444444444444445","0"
"11228463",1,"3598.91","3598.91",170,0,170,1,"0","0"
"11254582",3,"4389.36","1463.12",590,0,198,3,"0.07407407407407407","0"
"11387110",1,"2922.5","2922.5",293,0,293,1,"0","0"
"11389698",3,"8357.68","2785.8933333333334",596,0,475,3,"0.2962962962962963","0"
"11446157",5,"15311.23","3062.246",568,0,192,4,"0.10666666666666667","0"
"11470681",1,"3007.93","3007.93",240,0,240,1,"0","0"
"11478478",6,"17719.29","2953.215",390,1,27,6,"0.07407407407407407","0"
"11493300",1,"4066.1","4066.1",419,0,419,1,"0.13333333333333333","0"
"7923550",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"11493380",4,"12693.39","3173.3475",483,2,13,3,"0.08888888888888889","0"
"11503405",1,"2661.8","2661.8",478,0,478,1,"0.022222222222222223","0"
"11540364",1,"3402.86","3402.86",353,0,353,1,"0.06666666666666667","0"
"11562458",2,"7959.61","3979.805",505,0,330,2,"0.011111111111111112","0"
"11616535",4,"5872.78","1468.195",558,0,135,4,"0.15","0"
"11636968",2,"4476.12","2238.06",566,0,48,2,"0.12222222222222222","0"
"11705793",2,"6739.36","3369.68",263,0,203,2,"0.022222222222222223","0"
"11775073",1,"2388.23","2388.23",95,0,95,1,"0.022222222222222223","0"
"11928321",2,"3923.31","1961.655",494,0,302,2,"0.2","0"
"12059049",4,"11045.67","2761.4175",575,0,105,4,"0.09444444444444444","0"
"12077371",4,"7842.06","1960.515",509,0,366,4,"0.07222222222222222","0"
"12088552",2,"2049.82","1024.91",578,0,542,2,"0","0"
"12090436",1,"834.86","834.86",36,0,36,1,"0","0"
"12141418",1,"1421.52","1421.52",349,0,349,1,"0.13333333333333333","0"
"12184293",1,"4160.4","4160.4",440,0,440,1,"0.15555555555555556","0"
"12272282",5,"11611.29","2322.258",540,1,28,4,"0.09777777777777778","0"
"12277039",4,"12860.59","3215.1475",545,0,117,3,"0.12777777777777777","0"
"12302179",1,"1497.01","1497.01",452,0,452,1,"0","0"
"12305040",3,"8809.21","2936.403333333333",478,0,39,2,"0.13333333333333333","0"
"12338529",3,"3794.69","1264.8966666666668",403,1,9,3,"0.022222222222222223","0"
"12402437",2,"7044.07","3522.035",270,0,235,2,"0.1111111111111111","0"
"12415659",1,"2431.37","2431.37",115,0,115,1,"0.26666666666666666","0"
"12455156",3,"3157.46","1052.4866666666667",279,0,170,3,"0.02962962962962963","0"
"12469338",2,"1757.75","878.875",412,0,222,2,"0.25555555555555554","0"
"12500465",2,"3926.33","1963.165",558,0,369,1,"0.43333333333333335","0"
"12507907",2,"2085.12","1042.56",502,0,458,2,"0.022222222222222223","0"
"12574626",3,"5356.67","1785.5566666666666",262,1,9,2,"0.1111111111111111","0"
"12622901",2,"7918.97","3959.485",540,0,237,2,"0.3","0"
"12655794",1,"217.5","217.5",446,0,446,1,"0.26666666666666666","0"
"12695670",2,"1619.96","809.98",581,0,489,2,"0.1","0"
"12755730",3,"7745.37","2581.79",550,0,194,3,"0.42962962962962964","0"
"12769552",1,"2169.15","2169.15",122,0,122,1,"0","0"
"12778027",2,"6501.95","3250.975",574,0,327,1,"0.2777777777777778","0"
"12799092",3,"4648.88","1549.6266666666668",536,0,38,3,"0.0962962962962963","0"
"12814732",2,"5185.97","2592.985",71,1,9,2,"0.2222222222222222","0"
"49574186",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"12832151",7,"17178.65","2454.092857142857",403,0,41,6,"0.15873015873015872","0"
"12851610",5,"11862.14","2372.428",593,0,40,5,"0.16","0"
"12867472",2,"4250.6","2125.3",387,0,191,2,"0.044444444444444446","0"
"12967305",3,"8329.8","2776.6",573,0,468,3,"0.037037037037037035","0"
"12988801",2,"4579.99","2289.995",506,0,267,2,"0","0"
"13071673",2,"5265.69","2632.845",472,0,123,2,"0.07777777777777778","0"
"13122744",1,"2013.55","2013.55",386,0,386,1,"0.1111111111111111","0"
"13130974",1,"4179.5","4179.5",288,0,288,1,"0.37777777777777777","0"
"13164195",4,"13915.94","3478.985",574,0,55,4,"0.19444444444444445","0"
"13189939",4,"11042.32","2760.58",541,1,19,4,"0","0"
"13197985",1,"1107.38","1107.38",76,0,76,1,"0","0"
"13251137",5,"11343.79","2268.758",271,0,71,4,"0.11555555555555555","0"
"13265605",1,"3337.4","3337.4",528,0,528,1,"0","0"
"13284996",1,"956.4","956.4",568,0,568,1,"0.022222222222222223","0"
"13383642",3,"4776.26","1592.0866666666666",518,0,112,3,"0.15555555555555556","0"
"13415362",1,"1609.53","1609.53",532,0,532,1,"0","0"
"13424885",1,"2294.95","2294.95",448,0,448,1,"0.022222222222222223","0"
"14207332",2,"6489.3","3244.65",259,0,144,2,"0.044444444444444446","0"
"13455530",3,"9044.82","3014.94",392,0,267,3,"0.11851851851851852","0"
"13461704",1,"2279.47","2279.47",352,0,352,1,"0.26666666666666666","0"
"13462905",1,"176.34","176.34",112,0,112,1,"0.044444444444444446","0"
"13465850",3,"6814.68","2271.56",389,0,265,2,"0.17777777777777778","0"
"13492411",2,"2964.59","1482.295",567,0,195,2,"0.07777777777777778","0"
"13494314",2,"5073.49","2536.745",452,0,118,2,"0.07777777777777778","0"
"13567338",1,"916.92","916.92",399,0,399,1,"0","0"
"13581527",3,"5533.08","1844.36",432,0,148,2,"0.22962962962962963","0"
"13585482",3,"4898.23","1632.7433333333333",208,0,37,3,"0.022222222222222223","0"
"13604883",7,"14002.59","2000.37",596,0,80,6,"0.09841269841269841","0"
"13651980",2,"4283.5","2141.75",211,0,194,2,"0.17777777777777778","0"
"13760839",5,"10384.25","2076.85",594,0,147,5,"0.20444444444444446","0"
"13796199",3,"9520.53","3173.51",426,0,275,3,"0.1259259259259259","0"
"13871547",2,"3396.38","1698.19",537,0,226,2,"0.022222222222222223","0"
"13963450",1,"2630.12","2630.12",324,0,324,1,"0.15555555555555556","0"
"14006996",2,"6238.31","3119.155",437,0,220,2,"0.17777777777777778","0"
"14161586",2,"8391.54","4195.77",133,0,51,2,"0.4888888888888889","0"
"70554546",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"14255231",2,"8697.67","4348.835",483,0,141,2,"0","0"
"14272050",2,"5672.35","2836.175",402,0,323,2,"0","0"
"14275043",1,"4553.36","4553.36",195,0,195,1,"0.08888888888888889","0"
"14294171",1,"995.56","995.56",9,1,9,1,"0","0"
"14330483",2,"3286.63","1643.315",195,0,87,2,"0.13333333333333333","0"
"14367270",2,"2468.38","1234.19",535,0,31,1,"0.022222222222222223","0"
"14428954",3,"9890.27","3296.7566666666667",472,0,292,3,"0.5111111111111111","0"
"14458150",2,"7134.84","3567.42",567,0,413,2,"0.12222222222222222","0"
"14472401",4,"5696.88","1424.22",445,0,133,4,"0.022222222222222223","0"
"14479168",2,"3395.52","1697.76",568,0,77,2,"0.1","0"
"14632090",3,"10717.48","3572.4933333333333",408,0,53,3,"0.037037037037037035","0"
"14693393",2,"7205.32","3602.66",284,0,83,2,"0","0"
"14705462",2,"7509.24","3754.62",319,1,4,2,"0.044444444444444446","0"
"14839726",2,"4949.27","2474.635",539,0,279,2,"0.06666666666666667","0"
"14940427",3,"7194.67","2398.2233333333334",316,0,56,3,"0.2518518518518518","0"
"14944819",2,"4427.81","2213.905",467,0,317,2,"0.17777777777777778","0"
"14974554",2,"3999.58","1999.79",420,0,417,2,"0","0"
"68857118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"14991661",2,"4277.14","2138.57",372,0,108,2,"0.044444444444444446","0"
"15043066",1,"2129.39","2129.39",577,0,577,1,"0","0"
"15066187",3,"10626.06","3542.02",482,0,66,2,"0.18518518518518517","0"
"15144290",3,"6958.92","2319.64",445,0,65,3,"0.022222222222222223","0"
"15345667",1,"3322.54","3322.54",268,0,268,1,"0.5555555555555556","0"
"15391556",1,"1199.03","1199.03",523,0,523,1,"0","0"
"15417130",1,"3391.72","3391.72",268,0,268,1,"0.044444444444444446","0"
